source,target,type,confident,description
25,53,LW,FALSE,"Loanword: The loanword Latv. svȩ̀ts 'holy' (cf. PSl. *swentu) was borrowed posterior to the rise of nasal vowels (§ 25), but prior to the rise of stress in unaccentuated word forms (§ 53)."
25,59,CF,TRUE,"Counterfeeding: Had the change of *e to *o before hard consonants (§ 59) occurred before the rise of nasal vowels (§ 25), the former change would have created inputs for the latter, cf. PSl. *ze̠n˙ti > *zʼę̠̄˙tʼь > *zʼā̠˙tʼь > Ru. zʼa̠tʼ and not PSl. *ze̠n˙ti > **zo̠n˙ti > **zǭ̠˙tʼь > **zū̠˙tʼь > Ru. **zu̠tʼ."
25,59,CB,TRUE,"Counterbleeding: Had the change of *e to *o before hard consonants (§ 59) occurred prior to the rise of nasal vowels (§ 25), the former change would have withdrawn inputs from the latter, cf. PSl. *ze̠n˙ti > *zʼę̠̄˙tʼь > *zʼā̠˙tʼь > Ru. zʼa̠tʼ and not PSl. *ze̠n˙ti > **zo̠n˙ti > **zǭ̠˙tʼь > **zū̠˙tʼь > Ru. **zu̠tʼ."
26,28,CB,TRUE,"Counterbleeding: Had the shortening of word-final long vowels (§ 28) occurred prior to the change of *ē to *ě̄ (§ 26), the former change would have withdrawn inputs from the latter. "
26,59,B,TRUE,Bleeding: The change of *ē  to *ě̄ (§ 26) withdrew inputs from the change of *e to *o before hard consonants (§ 59).
26,65,CB,TRUE,"Counterbleeding: Had the shortening of long vowels (§ 65) occurred prior to the change of *ē to *ě̄ (§ 26), the former change would have withdrawn inputs from the latter. "
27,28,CF,TRUE,"Counterfeeding: Had the shortening of word-final long vowels (§ 28) occurred prior to the change of *i to *ь and of *u to *ъ (§ 27), the former change would have created inputs for the latter."
27,33,CF,TRUE,"Counterfeeding: Had the change of *jь- to *i- (§ 33) occurred before the change of *i to *ь and of *u to *ъ (§ 27), the former change would have created inputs for the latter."
27,65,CF,TRUE,"Counterfeeding: Had the shortening of long vowels (§ 65) occurred before the change of *i to *ь and of *u to *ъ (§ 27), the former change would have created inputs for the latter."
28,29,F,TRUE,Feeding: The shortening of word-final long vowels (§ 28) created inputs for Loss of post-consonantal *j and Kortlandt's compensatory lengthening (§ 29).
28,48,CB,FALSE,"Counterbleeding: Had the loss of weak jers (§ 48) occurred before the shortening of word-final long vowels (§ 28), the former change would have withdrawn inputs from the latter. While shortening of long vowels in Croatian did not affect monosyllabic words, the vowel in Cr. snȁ, which became a monosyllabic word only as a result of the loss of weak jers (§ 48), is short."
29,35,F,TRUE,Feeding: Compensatory lengthening (§ 29) created word-final non-acute long vowels which were subsequently affected by Ivšić's first law (§ 35).
29,48,CF,TRUE,"Counterfeeding: Had the loss of weak yers (§ 48) occurred before the loss of postconsonantal yod (§ 29), the former change would have created inputs for the latter, cf. PSl. *brā̠˙tijā˙ > *brā̠tʼь1ja > *brā̠tʼja > Ru. bra̠tʼjɪ. and not **bra̠tčɪ."
30,31,F,TRUE,"Feeding: Jer-epenthesis (§ 30) created inputs for the rise of secondary palatalization before front vowels (§ 31), cf. PSl. *wē̠˙tru > *wě̠̄˙tьrъ > *wʼě̠̄˙tʼьrъ > Ru. vʼe̠tʼɪr."
30,36,F,TRUE,"Feeding: Jer-epenthesis (§ 30) created inputs for Ivšić's second law (§ 36), cf. PSl. *a̠stru > *ostrъ̠ > *ostь2rъ̠1 > *ostь̠2rъ1 > Ru. ʌsʼtʼo̠r."
30,52,F,TRUE,Feeding: Jer-epenthesis (§ 30) created inputs for the change of *ь to *e and *ъ to *o (§ 52).
31,32,CB,TRUE,"Counterbleeding: Had the denasalization of *ę, *ę̄ to *a, *ā (§ 31) occurred prior to the rise of secondary palatalization before front vowels (§ 30), the former change would have withdrawn inputs from the latter, cf. PSl. *ze̠n˙ti > *zʼę̠̄˙tʼь > *zʼā̠˙tʼь > Ru. zʼa̠tʼ and not PSl. *ze̠n˙ti > *zę̠̄˙tь > **zā̠˙tь > **zā̠˙tʼь > Ru. **za̠tʼ."
31,45,F,FALSE,Feeding: The rise of secondary palatalization before front vowels (§ 31) created inputs for the change of word-initial *je- to *o- (§ 45) by softening consonants following this sequence.
31,48,CB,TRUE,"Counterbleeding: Had the loss of weak jers (§ 48) occurred prior tho the rise of secondary palatalization before front vowels (§ 31), the former change would have withdrawn inputs from the latter, cf. PSl. *dini > *dьnь > *dʼь2nʼь1 > *dʼь2nʼ > Ru. dʼe̠nʼ and not PSl. *dini > *dьnь > *dь2nь1 > **dь2n > **dʼь2n > Ru. **dʼe̠n."
31,59,CB,TRUE,"Counterbleeding: Had the change of *e to *o before hard consonants (§ 59) occurred prior to the rise of secondary palatalization before front vowels (§ 31), the former change would have withdrawn inputs from the latter, cf. PSl. *ze̠n˙ti > *zʼę̠̄˙tʼь > *zʼā̠˙tʼь > Ru. zʼa̠tʼ and not PSl. *ze̠n˙ti > **zo̠n˙ti > **zǭ̠˙tʼь > **zū̠˙tʼь > Ru. **zu̠tʼ."
31,66,F,TRUE,Feeding: The rise of secondary palatalization before front vowels (§ 31) creted inputs for the change of *ě to *i (§ 66).
31,67,F,TRUE,Feeding: The rise of secondary palatalization before front vowels (§ 31) creted inputs for vowel reduction (§ 67).
32,53,LW,FALSE,"Loanword: The loanword Latv. svȩ̀ts 'holy' (cf. PSl. *swentu) reflects a stabe posterior to the denasalization of *ę to *a (§ 32), but prior to the rise of stress in unaccentuated accentual units (§ 53)."
33,34,B,FALSE,"Bleeding: The change of word-initial *jь- to *i- (§ 33) withdrew inputs from the rise of a difference between strong and weak jers (§ 34), cf. PSl. *su igrā̠˙tēj > *sъ jьgrā̠˙tʼi > *sъ igrā̠˙tʼi > *sъ1 igrā̠˙tʼi > Ru. sygra̠tʼ and not PSl. *su igrā̠˙tēj > *sъ jьgrā̠˙tʼi > **sъ2 jь1grā̠˙tʼi > **sъ2 igrā̠˙tʼi > **so igrā̠˙tʼi > Ru. **sʌjgra̠tʼ or **sʌigra̠tʼ."
33,62,F,TRUE,"Feeding: The change of *jь- to *i- (§ 33) created inputs for the change of *i to *y after hard consonants (§ 62), cf. PSl. *su igrā̠˙tēj > *sъ jьgrā̠˙tʼi > *sъ igrā̠˙tʼi > *sъ1 igrā̠˙tʼi > Ru. sygra̠tʼ."
34,36,B,TRUE,"Bleeding: The rise of a difference between strong and weak jers (§ 34) withdrew inputs from Ivšić's second law (§ 36), cf. PSl. *sla̠wdžibinuju > *slọ̄dži̠binuji > *slūžь̠2bʼь1nъ2jь1 > Ru. sluże̠bʼnəj with retention of the accent as opposed to PSl. *sla̠wdžibā˙ > *slọ̄džь̠1ba > *slọ̠̄džь1ba > Ru. slu̠żbə with accent retraction."
34,40,CF,TRUE,"Counterfeeding: Had the change of *īj to *ь2j and of *ūj to *ъ2j  (§ 40) occurred before the rise of a difference between strong and weak jers (§ 34), the former change would have created inputs for the latter."
35,36,CF,TRUE,"Counterfeeding: Had Ivšić's second law (§ 36) occurred before Ivšić's first law (§ 35), the former change would have created inputs for thelatter, cf. PSl. *kamā̠ru > *komārъ̠1 > *komā̠rъ1 > Ru. kʌma̠r or PSl. *Pera̠wnu > *Pʼerọ̄nъ̠1 > *Pʼerọ̠̄nъ1 > Ru. Pʼɪru̠n."
35,44,F,TRUE,Feeding: Ivšić's first law (§ 35) created inputs for the change of *o to *ô (§ 44).
36,44,F,TRUE,Feeding: Ivšić's second law (§ 36) created inputs for the change of stressed *o to *ô (§ 44).
38,39,LW,TRUE,"Loanword: The loanword iupanus, written in Romance orthography (<i> = [dž]), reflects a stage when PSl. *džawpā̠nu had already undergone monophthongization (§ 3) and the change of *ọ̄, *ọ to *ū, *u (§ 38), but when *dž had not yet change to *ž (§ 39)."
38,48,M,TRUE,Manuscript: Tthe change of *ọ̄ to *ū (§ 38) is already attested in the first written records while the loss of the weak jers (§ 48) is not.
39,57,F,TRUE,Feeding: The change of *dž to *ž (§ 39) created inputs for the change of *ž to *ż (§ 57).
40,52,F,TRUE,Feeding: The change of *īj to *ь2j and of *ȳj to *ъ2j (§ 40) created inputs for the change of *ь to *e and of *ъ to*o (§ 52).
41,43,F,TRUE,"Feeding: The loss of word-initial *j- before *ī and *ū (§ 41) created inputs for the shift of stress from post-hiatal *i, *ī and *u, *ū to an immediately preceding syllable (§ 43), cf. PSl. *zā ja̠w˙trā > *zā ū̠tra > *zā̠ wtra > Ru. za̠vtrə."
42,43,F,TRUE,"Feeding: The change of *jī to *i and of *wū to *u (§ 42) created inputs for the shift of stress from post-hiatal *i, *ī and *u, *ū to an immediately preceding syllable (§ 43)."
42,62,F,FALSE,"Feeding: The change of *jī, *ji to *i and of *wū, *wu to *u (§ 42) created inputs for the change of *i, *ī to *y, *ȳ after hard consonants (§ 62), cf. PSl. *uz e̠jskā˙tēj > *wъz jīskā̠˙tī > *wъ1z jīskā̠tʼi > *wъ1z īskā̠tʼi > *vzīskā̠tʼ > *vzȳskā̠tʼ > russ. vzyska̠tʼ."
43,44,F,TRUE,"Feeding: The shift of stress from post-hiatal *i, *ī and *u, *ū to an immediately preceding syllable (§ 43) created inputs for the change of stressed *o to *ô (§ 44)."
44,52,CF,TRUE,"Counterfeeding: Had the change of *o to ô (§ 44) occurred prior to the the change of *ъ to *o (§ 52), the former change would have created inputs for the latter."
44,53,CF,TRUE,"Counterfeeding: Had the rise of stress in unaccentuated accentual units (§ 53) occurred before the change of *o to *ô (§ 44), the former change would have created inputs for the latter."
44,54,F,TRUE,Feeding: The change of *o to *ô (§ 44) created inputs for the w-prothesis before word-initial *ô (§ 54).
44,59,CF,TRUE,"Counterfeeding: Had the change of *e to *o before hard consonants (§ 59) occurred prior to the change of *o to *ô (§ 44), the former change would have created inputs for the latter."
45,57,CB,TRUE,"Counterbleeding: Had the change of *ž to *ż (§ 57) occurred prior to the change of *je- to *o- (§ 45), the former change would have created inputs for the latter, cf. OESl. ožь 'hedghog'."
47,59,B,TRUE,"Bleeding: The rise of secondary alatalization of *r in tautosyllabic position before *ь immediately followed by velars, labials, or palatalized dentals (§ 47) withdrew inputs from the change of *e to *o before hard consonants (§ 59), cf. *wi̠rxu > *wʼь̠2rxъ1 > *wʼь̠2rʼxъ1 > Ru. vʼe̠rx."
48,49,F,TRUE,Feeding: The loss of weak jers (§ 48) created inputs for the regressive assimilation before palatal consonants (§ 49).
48,50,F,TRUE,Feeding: The loss of weak jers (§ 48) created inputs for the simplification of consonant clusters (§ 50).
48,53,F,FALSE,"Feeding: The loss of weak jers (§ 48) created inputs for the rise of stress in unaccentuated accentual units (§ 53), cf. *duskān >*dъ1sku > *dsku reintroduction of *ъ in do dissolve the consonant cluster dъ1sku > Ru. do̠sku and not Ru. *duskān > **dъ̠1sku > **dsku̠ > reintroduction of *ъ in do dissolve the consonant cluster > **dъ1sku̠ > russ. **dəsku̠."
48,56,F,TRUE,Feeding: The loss of weak jers (§ 48) created inputs for the regressive voice assimilation in consonant sequences and word-final devoicing (§ 56).
48,58,F,TRUE,Feeding: The loss of weak jers (§ 48) created inputs for the depalatalization of word-final *m' to *m (§ 58).
48,61,F,TRUE,Feeding: The loss of weak jers (§ 48) created inputs for the regressive secondary palatalization assimilation (§ 61).
48,62,F,TRUE,"Feeding: The loss of weak jers (§ 48) created inputs for the change of *i, *ī to *y, *ȳ after hard consonants (§ 62), cf. PSl. *uz e̠jskā˙tēj > *wъz jīskā̠˙tī > *wъ1z jīskā̠tʼi > *wъ1z īskā̠tʼi > *vzīskā̠tʼ > *vzȳskā̠tʼ > Ru. vzyska̠tʼ."
48,67,F,FALSE,Feeding: The loss of weak yers (§ 48) created inputs for vowel reduction (§ 67).
48,68,F,TRUE,Feeding: The loss of weak jers (§  48) created inputs for the loss of non-palatalized *l in word-final position (§ 48).
49,51,CB,TRUE,"Counterbleeding: Had the change of palatal *l', *n' to palatalized *l', *n' (§ 51) occurred prior to the regressive assimilation before palatal consonants (§ 49), the former change would have withdrawn inputs from the latter."
49,57,P,TRUE,"Plausibility: It is phonetically more plausible to assume that *š, *ž resulting from assimilation before palatal  consonants (§ 49) were originally soft which suggests that the hardening of *š to *ṡ͘, and of *ž to *ż (§ 57) occurred at later stage, cf. *su̠ljān > *sъ1lˊu̠ > *slˊu̠ > *šlˊu̠ > *šlʼu̠ > Ru. ṡlʼu̠."
49,69,F,TRUE,"Feeding: The regressive assimilation before palatal consonants (§ 49) created inputs for the change of *šč to *šš and of *ždž to *žž  (§ 69), cf. PSl. *sučenstija > *sъ1čāstʼь1je > *sčāstʼje > *šča̠stʼji > Ru. šša̠stʼjɪ."
50,57,F,FALSE,"Feeding: The simplification of consonant clusters (§ 50) created inputs for the hardening of *š to *ṡ͘, and of *ž to *ż (§ 57), cf. PSl. *pa̠rzdinjuju > *porô̠ždžńь2j > *porô̠žńь2j > *porô̠žnʼej > *porô̠żnʼej > Ru. pʌro̠żnʼɪj where the sequence *ždžń had to be simplified to žń before *ž could change to *ż."
50,69,CF,TRUE,"Counterfeeding: Had the change of *šč to *šš and of *ždž to *žž (§ 69) occurred before the simplification of consonant clusters (§ 50), the former change would have withdrawn inputs for the latter."
52,59,F,TRUE,Feeding: The change of ь to e (§ 52) created inputs for the change of *e to *o before hard consonants (§ 59).
53,67,F,FALSE,Feeding: The rise of stress in unaccentuated accentual units (§ 53) created inputs for vowel reduction (§ 67).
54,55,F,FALSE,Feeding: The w-prothesis before *ô (§ 54) created inputs for the change of *w to *v (§ 55).
54,71,CB,TRUE,"Counterbleeding: Had the change of *ô to *o (§ 71) occurred prior to the w-prothesis (§ 54), the former change would have withdrawn inputs from the latter."
57,59,F,TRUE,"Feeding: The change of *š to *ṡ and of *ž to *ż (§ 57) created inputs for the change of *e to *o before hard consonants (§ 59), cf. PSl. *malde̠džju > *molodʼe̠ṡ > *molodʼo̠ṡ > Ru. məlʌdʼo̠ṡ."
57,62,F,TRUE,"Feeding: The change of *š to *ṡ and of *ž to *ż (§ 57) created inputs for the change of *i, *ī to *y, *ȳ after hard consonants (§ 62)."
58,59,F,TRUE,"Feeding: The depalatalization of word-final *m' to *m (§ 58) created inputs for the change of *e to *o before hard consonants (§ 59), cf. PSl. *dinimi > *dʼnʼe̠mʼ > *dʼnʼe̠m > Ru. dʼnʼo̠m."
59,60,CF,TRUE,"Counterfeeding: Had the hardening of *c' to *c (§ 69) occurred prior to the change of *e to *o before hard consonants (§ 59), the former change would have created inputs for the latter, cf. PSl. *awi̠ku > *ovʼe̠cʼ > *ovʼe̠c > Ru. ʌvʼe̠c suggests where *cʼ was still soft when the change of *e to *o before hard consonants (§ 59)."
59,61,CF,TRUE,"Counterfeeding: Had the regressive secondary palatalization assimilation (§ 61) occrred prior to the change of *e to *o before hard consonants, the former change would have created inputs for the latter, cf.  PSl. *že̠niskuju > *že̠nʼskoj > *že̠nskoj > Ru. že̠nskəj and not PSl. *že̠niskuju > *že̠nʼskoj > *že̠nskoj > **žo̠nskoj > Ru.** žo̠nskəj."
59,70,CF,TRUE,"Counterfeeding: Had the change of *ě to *e (§ 70) occurred prior to the change of *e to *o before hard consonants (§ 59), the former change would have created inputs for the latter."
60,61,F,TRUE,"Feeding: The change of *cʼ to *c (§ 60) created inputs for the regressive secondary palatalization assimilation (§ 61), cf. PSl. *awi̠kā˙ > *ofʼcʼa̠ > *ofʼca̠ > *ofca̠ > Ru. ʌfca̠."
60,62,F,TRUE,"Feeding: The change of *cʼ to *c (§ 60) created inputs for the change of *i, *ī to *y, *ȳ (§ 62)."
62,63,P,TRUE,"Plausibility: The reversed order (i.e., § 63 before § 62) would require to limit the change of *i to *y after hard consonants (§ 62) to all hard consonants but velars which seems implausible."
63,64,F,FALSE,"Feeding: The change of *y, *ȳ to *i, *ī after velar consonants (§ 63) created inputs for the palatalization of *k, *g, *x before front vowels (§ 64)."
63,65,LW,FALSE,"Loanword: The loanwords Finn. kiisseli and Latv. ķĩselis `both: kind of jelly' (cf. Ru. kisel' `kind of jelly') reflect a stage before the shortening of long vowels (§ 65), but after the change of *y to *i after velar consonants (§ 63)."
66,70,B,TRUE,Bleeding: The change of *ě to *i before palatalized dentals followed by a stressed front vowel or *a withdrew inputs from the change of *ě to *e (§ 70).
